2025-03-28 01:54:59,704 INFO    MainThread:2418 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /Users/liuyihao/Desktop/m2cw/wandb/run-20250328_015459-8go65mdi/logs/debug.log
2025-03-28 01:54:59,705 INFO    MainThread:2418 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /Users/liuyihao/Desktop/m2cw/wandb/run-20250328_015459-8go65mdi/logs/debug-internal.log
2025-03-28 01:54:59,705 INFO    MainThread:2418 [wandb_init.py:monkeypatch_ipython():599] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x3bb1eb710>
2025-03-28 01:54:59,705 INFO    MainThread:2418 [wandb_init.py:init():761] calling init triggers
2025-03-28 01:54:59,705 INFO    MainThread:2418 [wandb_init.py:init():766] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-03-28 01:54:59,705 INFO    MainThread:2418 [wandb_init.py:init():773] finishing previous run: u9s7uv4p
2025-03-28 01:54:59,705 INFO    MainThread:2418 [wandb_run.py:_finish():2112] finishing run liuyihao649-university-of-cambridge/qwen-lora/u9s7uv4p
2025-03-28 01:54:59,706 INFO    MainThread:2418 [wandb_run.py:_atexit_cleanup():2340] got exitcode: 0
2025-03-28 01:54:59,707 INFO    MainThread:2418 [wandb_run.py:_restore():2322] restore
2025-03-28 01:54:59,707 INFO    MainThread:2418 [wandb_run.py:_restore():2328] restore done
2025-03-28 01:55:01,098 INFO    MainThread:2418 [wandb_run.py:_footer_history_summary_info():3956] rendering history
2025-03-28 01:55:01,098 INFO    MainThread:2418 [wandb_run.py:_footer_history_summary_info():3988] rendering summary
2025-03-28 01:55:01,100 INFO    MainThread:2418 [wandb_run.py:_footer_sync_info():3917] logging synced files
2025-03-28 01:55:01,103 INFO    MainThread:2418 [wandb_init.py:init():784] starting backend
2025-03-28 01:55:01,103 INFO    MainThread:2418 [wandb_init.py:init():788] sending inform_init request
